#,선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,Woba,WAR
44,김태연,한화,53,220,176,53,3,29,34,34,44,5,0.373,0.301,0.418,0.42,0.838,0.392,1.83
45,유강남,LG,130,441,397,100,11,39,60,25,75,2,0.284,0.252,0.317,0.375,0.692,0.317,1.69
46,김성현,SSG,110,274,237,67,6,27,37,29,29,5,0.296,0.283,0.356,0.422,0.778,0.353,1.68
47,오지환,LG,134,532,464,118,8,62,57,54,82,12,0.29,0.254,0.335,0.351,0.686,0.321,1.63
48,최지훈,SSG,136,534,461,121,5,75,46,51,71,26,0.297,0.262,0.342,0.362,0.704,0.328,1.58
49,김인태,두산,133,418,344,89,8,51,46,62,68,0,0.298,0.259,0.373,0.378,0.751,0.354,1.58
50,이재원,SSG,107,313,271,76,3,29,30,29,47,0,0.327,0.28,0.358,0.362,0.72,0.332,1.53
51,이명기,NC,56,232,191,56,2,30,14,37,27,6,0.333,0.293,0.41,0.387,0.797,0.38,1.51
52,박석민,NC,59,205,171,44,10,27,41,27,43,0,0.283,0.257,0.361,0.48,0.841,0.375,1.48
53,권희동,NC,55,171,133,35,8,25,26,29,24,2,0.26,0.263,0.406,0.466,0.872,0.397,1.46
54,서건창,Hero,76,333,278,72,4,45,28,45,44,6,0.292,0.259,0.37,0.353,0.723,0.343,1.42
55,심우준,KT,139,460,407,109,6,61,48,32,65,16,0.301,0.268,0.323,0.371,0.694,0.317,1.41
56,김병희,KT,34,70,52,15,5,16,13,13,15,3,0.313,0.288,0.456,0.635,1.091,0.477,1.31
57,송우현,Hero,69,282,250,74,3,34,42,28,49,1,0.357,0.296,0.37,0.416,0.786,0.36,1.23
58,류지혁,KIA,92,327,273,76,2,37,34,42,46,0,0.325,0.278,0.385,0.33,0.715,0.345,1.17
59,허경민,두산,136,518,468,130,5,61,59,36,35,5,0.29,0.278,0.338,0.365,0.703,0.325,1.14
60,로맥,SSG,107,421,355,80,20,55,52,59,82,1,0.234,0.225,0.34,0.425,0.765,0.348,1.12
61,김민혁,KT,75,199,172,55,1,22,13,20,26,6,0.372,0.32,0.397,0.395,0.792,0.371,1.06
62,지시완,롯데,73,187,166,40,7,23,26,14,54,0,0.314,0.241,0.319,0.422,0.741,0.335,1.05
63,안중열,롯데,58,157,125,29,3,19,16,27,25,0,0.265,0.232,0.37,0.344,0.714,0.345,1.04
64,이대호,롯데,114,465,420,120,19,39,81,34,49,0,0.282,0.286,0.342,0.448,0.79,0.35,1.02
65,김웅빈,Hero,97,279,232,56,6,24,35,34,73,1,0.323,0.241,0.357,0.384,0.741,0.344,1.02
66,조수행,두산,115,104,84,24,1,34,8,16,26,21,0.404,0.286,0.417,0.369,0.786,0.38,1.01
67,이원석,삼성,131,480,399,92,9,40,59,60,80,1,0.261,0.231,0.341,0.346,0.687,0.324,1.01
68,박찬호,KIA,131,483,418,103,1,51,59,54,73,9,0.294,0.246,0.331,0.313,0.644,0.307,0.92
69,박민우,NC,50,215,180,47,1,30,18,22,23,12,0.291,0.261,0.36,0.339,0.699,0.334,0.87
70,김강민,SSG,122,260,223,53,8,43,27,25,52,3,0.271,0.238,0.327,0.408,0.735,0.332,0.81
71,장승현,두산,92,211,177,41,2,18,27,19,50,0,0.31,0.232,0.332,0.322,0.654,0.313,0.74
72,정수빈,두산,104,351,313,81,3,50,37,29,50,12,0.299,0.259,0.327,0.374,0.701,0.321,0.72
73,김태군,NC,102,276,232,51,7,23,24,21,30,0,0.222,0.22,0.311,0.341,0.652,0.305,0.72
74,김민식,KIA,100,301,250,55,3,30,26,41,49,0,0.259,0.22,0.336,0.288,0.624,0.305,0.71
75,허도환,KT,62,125,105,29,2,8,21,8,28,0,0.36,0.276,0.339,0.39,0.729,0.335,0.7
76,김지찬,삼성,120,336,296,81,1,50,26,27,31,23,0.3,0.274,0.331,0.304,0.635,0.302,0.7
77,오윤석,KT,64,122,95,24,2,14,12,20,26,2,0.328,0.253,0.393,0.358,0.751,0.364,0.67
78,권동진,KT,86,86,67,17,1,21,6,18,30,3,0.444,0.254,0.412,0.373,0.785,0.38,0.66
79,김헌곤,삼성,118,364,317,89,4,38,27,34,46,5,0.313,0.281,0.355,0.356,0.711,0.333,0.63
80,김재유,롯데,87,192,174,50,1,27,18,10,36,7,0.358,0.287,0.34,0.351,0.691,0.322,0.6
81,김주원,NC,69,189,166,40,5,20,16,17,57,6,0.33,0.241,0.316,0.386,0.702,0.319,0.6
82,추재현,롯데,95,300,262,66,5,37,26,26,57,4,0.305,0.252,0.336,0.366,0.702,0.328,0.58
83,박병호,Hero,118,477,409,93,20,48,76,47,141,0,0.286,0.227,0.323,0.43,0.753,0.336,0.55
84,이현석,SSG,39,89,79,21,4,7,19,5,29,0,0.354,0.266,0.302,0.481,0.783,0.338,0.54
85,한승택,KIA,82,239,203,44,3,17,16,28,61,0,0.295,0.217,0.321,0.296,0.617,0.299,0.54
86,송성문,Hero,66,274,245,61,6,30,33,25,42,0,0.278,0.249,0.32,0.371,0.691,0.318,0.53
87,이성곤,한화,60,206,172,46,1,17,24,29,52,0,0.375,0.267,0.38,0.378,0.758,0.358,0.51
88,이흥련,SSG,90,146,127,30,3,15,14,12,31,0,0.29,0.236,0.326,0.331,0.657,0.312,0.51
89,문보경,LG,107,329,278,64,8,37,39,46,64,3,0.269,0.23,0.337,0.363,0.7,0.327,0.51
90,김민수,삼성,47,87,76,20,3,9,13,6,13,0,0.274,0.263,0.318,0.447,0.765,0.337,0.5
91,서건창,LG,68,267,235,58,2,33,25,24,34,6,0.28,0.247,0.323,0.332,0.655,0.308,0.44
92,이형종,LG,90,281,239,52,10,32,34,34,65,3,0.256,0.218,0.332,0.389,0.721,0.334,0.44
93,김준태,롯데,47,131,111,23,4,17,15,17,35,0,0.257,0.207,0.313,0.36,0.673,0.313,0.44
94,알몬테,KT,60,250,225,61,7,18,36,22,50,1,0.318,0.271,0.336,0.404,0.74,0.337,0.43
95,최용제,두산,78,119,104,29,0,7,15,11,21,0,0.345,0.279,0.356,0.308,0.664,0.32,0.39
96,김주형,Hero,36,70,50,9,0,5,5,4,15,1,0.257,0.18,0.388,0.24,0.628,0.338,0.38
97,김찬형,NC,17,26,22,8,0,2,1,2,5,0,0.471,0.364,0.44,0.409,0.849,0.401,0.35
98,강승호,두산,113,340,301,72,7,47,37,22,78,8,0.297,0.239,0.301,0.375,0.676,0.306,0.35
99,안재석,두산,96,224,200,51,2,28,14,16,53,1,0.329,0.255,0.317,0.345,0.662,0.306,0.34
100,이지영,Hero,108,258,233,64,0,29,31,19,17,3,0.292,0.275,0.328,0.305,0.633,0.296,0.32
101,호잉,KT,68,294,259,62,11,32,52,26,52,5,0.254,0.239,0.313,0.417,0.73,0.324,0.32
102,신용수,롯데,71,136,119,31,1,23,6,11,20,3,0.303,0.261,0.336,0.361,0.697,0.324,0.31
103,김민성,LG,121,426,360,80,8,35,39,42,73,3,0.254,0.222,0.313,0.35,0.663,0.307,0.31
104,최정원,NC,72,238,212,60,0,40,8,18,40,9,0.349,0.283,0.35,0.321,0.671,0.32,0.3
105,오태곤,SSG,122,253,235,63,9,47,35,14,52,9,0.309,0.268,0.313,0.426,0.739,0.33,0.3
106,이정범,SSG,19,66,59,15,3,8,9,7,15,0,0.293,0.254,0.333,0.475,0.808,0.359,0.3
107,터커,KIA,127,539,468,111,9,42,59,61,66,0,0.258,0.237,0.334,0.35,0.684,0.322,0.3
108,송민섭,KT,122,65,48,11,0,39,7,12,22,15,0.423,0.229,0.383,0.229,0.612,0.323,0.3
109,김성표,삼성,39,24,18,6,0,10,1,5,7,2,0.545,0.333,0.478,0.333,0.811,0.408,0.26
110,윤형준,NC,51,81,74,22,5,10,10,3,17,0,0.321,0.297,0.321,0.5,0.821,0.356,0.26
111,정주현,LG,73,214,181,43,3,26,10,24,32,3,0.272,0.238,0.325,0.337,0.662,0.312,0.24
112,한석현,LG,16,26,21,6,0,5,1,3,7,2,0.4,0.286,0.385,0.476,0.861,0.382,0.22
113,페레즈,한화,59,252,224,60,5,26,33,17,52,4,0.316,0.268,0.321,0.411,0.732,0.327,0.22
114,노수광,한화,52,180,160,37,3,21,14,17,46,13,0.306,0.231,0.309,0.331,0.64,0.3,0.22
115,이진영,KIA,17,47,40,8,2,8,5,3,22,1,0.375,0.2,0.319,0.45,0.769,0.345,0.22
116,최영진,삼성,44,63,57,16,1,9,6,5,12,1,0.341,0.281,0.349,0.386,0.735,0.339,0.21
117,김호령,KIA,62,154,130,27,4,16,15,16,44,4,0.28,0.208,0.322,0.315,0.637,0.308,0.21
118,이정훈,KIA,41,151,129,32,2,14,14,19,33,0,0.319,0.248,0.358,0.341,0.699,0.335,0.2
119,라모스,LG,51,205,185,45,8,14,25,18,43,0,0.276,0.243,0.317,0.422,0.739,0.333,0.2
120,최형우,KIA,104,446,373,87,12,52,55,67,67,0,0.253,0.233,0.354,0.375,0.729,0.334,0.19
121,유민상,KIA,24,74,60,14,1,7,6,8,18,0,0.317,0.233,0.378,0.317,0.695,0.345,0.17
122,정현,NC,56,120,96,22,0,9,7,14,20,0,0.289,0.229,0.351,0.281,0.632,0.315,0.16
123,정현,SSG,12,29,21,4,0,5,0,3,4,0,0.235,0.19,0.37,0.286,0.656,0.335,0.16
124,손성빈,롯데,20,22,19,6,0,4,0,3,6,0,0.462,0.316,0.409,0.316,0.725,0.356,0.15
125,강한울,삼성,124,258,223,58,0,25,27,29,58,2,0.345,0.26,0.341,0.283,0.624,0.304,0.15
126,남태혁,SSG,12,22,20,6,1,2,4,1,7,0,0.417,0.3,0.364,0.5,0.864,0.385,0.14
127,이재원,LG,62,171,154,38,5,22,17,14,48,5,0.324,0.247,0.316,0.383,0.699,0.319,0.14
128,신본기,KT,96,206,174,41,1,25,19,22,45,1,0.31,0.236,0.333,0.299,0.632,0.307,0.14
129,정범모,NC,19,23,19,4,1,2,5,2,4,0,0.214,0.211,0.318,0.421,0.739,0.336,0.13
130,박지훈,두산,34,14,12,4,0,6,2,1,3,3,0.444,0.333,0.429,0.417,0.846,0.399,0.12
131,최항,SSG,34,79,69,19,0,5,7,6,16,1,0.352,0.275,0.346,0.333,0.679,0.315,0.12
132,박준영,NC,111,315,273,57,8,37,31,27,92,4,0.28,0.209,0.301,0.337,0.638,0.299,0.12
133,전민수,NC,71,109,98,25,3,12,16,11,23,0,0.306,0.255,0.33,0.378,0.708,0.323,0.11
134,김민수,롯데,82,224,199,48,3,19,25,18,62,0,0.333,0.241,0.312,0.352,0.664,0.307,0.11
135,천성호,KT,41,47,42,12,0,13,4,3,9,1,0.364,0.286,0.362,0.31,0.672,0.325,0.1
136,전병우,Hero,115,261,214,40,6,35,31,33,84,3,0.272,0.187,0.319,0.308,0.627,0.305,0.1
137,이병규,롯데,29,43,34,8,0,4,4,8,14,0,0.4,0.235,0.395,0.235,0.63,0.333,0.09
138,박준태,Hero,27,58,46,9,0,10,4,10,16,1,0.3,0.196,0.362,0.261,0.623,0.321,0.09
139,최정민,KIA,39,19,15,5,0,5,1,3,7,2,0.625,0.333,0.474,0.333,0.807,0.406,0.08
140,김용의,LG,102,42,27,4,0,19,2,10,5,6,0.174,0.148,0.368,0.222,0.59,0.318,0.07
141,김주성,LG,3,7,6,1,1,1,1,1,3,0,0,0.167,0.286,0.667,0.953,0.391,0.06
142,박승욱,KT,8,6,6,2,0,5,0,0,1,1,0.4,0.333,0.333,0.5,0.833,0.363,0.05
143,오윤석,롯데,33,76,69,16,2,9,5,7,21,2,0.304,0.232,0.303,0.42,0.723,0.318,0.04
144,신성현,두산,11,15,11,2,0,3,0,3,6,0,0.4,0.182,0.4,0.182,0.582,0.33,0.04
145,최인호,한화,49,164,136,28,4,17,23,24,43,2,0.264,0.206,0.329,0.338,0.667,0.318,0.03
146,정보근,롯데,11,20,18,5,0,0,0,2,2,0,0.313,0.278,0.35,0.278,0.628,0.307,0.02
147,김찬형,SSG,71,135,110,22,2,18,6,14,27,0,0.247,0.2,0.307,0.309,0.616,0.296,0.02
148,백용환,KIA,3,7,5,0,0,0,0,2,2,0,0,0,0.286,0,0.286,0.221,0.02
149,장두성,롯데,43,41,36,8,0,12,4,5,12,4,0.333,0.222,0.317,0.333,0.65,0.306,0.01
150,김준태,KT,11,18,17,2,0,0,0,1,5,0,0.167,0.118,0.167,0.118,0.285,0.145,0.01
151,이상호,LG,45,68,65,20,0,5,12,1,10,2,0.364,0.308,0.318,0.338,0.656,0.3,-0.01
152,김은성,Hero,6,18,18,5,0,1,2,0,6,0,0.417,0.278,0.278,0.444,0.722,0.312,-0.01
153,김태진,KIA,99,414,381,105,1,43,36,23,64,8,0.325,0.276,0.314,0.341,0.655,0.299,-0.01
154,김석환,KIA,5,20,19,5,1,1,3,0,7,0,0.364,0.263,0.3,0.421,0.721,0.321,-0.01
155,안상현,SSG,37,40,39,10,1,9,4,1,15,3,0.391,0.256,0.275,0.385,0.66,0.292,-0.01
156,김재현,Hero,39,51,46,10,0,2,8,3,12,0,0.294,0.217,0.265,0.37,0.635,0.284,-0.01
157,박경수,KT,118,280,239,46,9,24,33,34,76,0,0.24,0.192,0.301,0.347,0.648,0.3,-0.01
158,이명기,Hero,3,8,6,1,0,0,1,2,3,0,0.333,0.167,0.375,0.167,0.542,0.308,-0.01
159,김상수,삼성,132,496,429,101,3,46,42,52,51,4,0.259,0.235,0.32,0.301,0.621,0.297,-0.02
160,김민하,한화,46,142,115,24,1,14,17,17,36,6,0.288,0.209,0.345,0.287,0.632,0.314,-0.03
161,강경학,KIA,13,13,11,2,0,2,1,1,3,0,0.25,0.182,0.308,0.182,0.49,0.262,-0.03
162,김준완,NC,13,14,12,2,0,3,1,2,0,0,0.167,0.167,0.286,0.333,0.619,0.287,-0.03
163,고명성,KT,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.03
164,서예일,두산,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03
165,권정웅,삼성,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03
166,황경태,두산,1,1,1,0,0,0,0,0,1,0,-,0,0,0,0,0,-0.03
167,나원탁,롯데,1,1,1,0,0,0,0,0,1,0,-,0,0,0,0,0,-0.03
168,박상언,한화,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03
169,이정용,LG,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03
170,박시원,NC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03
171,서진용(타),SSG,1,1,1,0,0,0,0,0,1,0,-,0,0,0,0,0,-0.03
172,오장한,NC,1,1,1,0,0,0,0,0,1,0,-,0,0,0,0,0,-0.03
173,오태양,NC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03
174,최종은,롯데,1,1,1,0,0,0,0,0,1,0,-,0,0,0,0,0,-0.03
175,박성재,두산,1,1,1,0,0,0,0,0,1,0,-,0,0,0,0,0,-0.03
176,김현준,삼성,13,4,4,1,0,2,0,0,0,0,0.25,0.25,0.25,0.25,0.5,0.23,-0.04
177,권민석,두산,33,15,14,3,0,8,1,1,7,0,0.429,0.214,0.267,0.357,0.624,0.281,-0.04
178,배성근,롯데,78,109,93,19,1,21,9,14,36,1,0.321,0.204,0.308,0.28,0.588,0.287,-0.04
179,장규현,한화,7,12,12,3,0,0,1,0,4,0,0.375,0.25,0.25,0.333,0.583,0.258,-0.05
180,송준석,삼성,19,55,51,12,2,5,4,3,13,0,0.278,0.235,0.291,0.392,0.683,0.307,-0.05
181,이재율,NC,23,17,15,3,0,5,1,0,3,1,0.25,0.2,0.294,0.333,0.627,0.295,-0.05
182,김응민,삼성,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05
183,전민재,두산,9,5,4,1,0,1,1,0,2,0,0.333,0.25,0.2,0.25,0.45,0.184,-0.06
184,오정환,KIA,9,18,17,4,0,1,2,1,9,0,0.5,0.235,0.278,0.294,0.572,0.266,-0.06
185,유서준,SSG,6,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.06
186,최민창,LG,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06
187,이태훈,삼성,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.06
188,최우재,NC,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06
189,크레익,Hero,61,247,222,55,6,25,30,20,43,0,0.282,0.248,0.32,0.383,0.703,0.32,-0.07
190,김병휘,Hero,13,11,10,2,0,5,0,1,2,0,0.25,0.2,0.273,0.2,0.473,0.237,-0.07
191,최보성,NC,10,14,12,3,0,0,1,0,5,0,0.429,0.25,0.308,0.25,0.558,0.273,-0.08
192,이호연,롯데,7,11,9,2,0,0,1,1,1,0,0.222,0.222,0.273,0.222,0.495,0.237,-0.08
193,이주형,Hero,5,11,10,1,1,1,3,1,7,0,0,0.1,0.182,0.4,0.582,0.249,-0.08
194,정상호,SSG,3,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.08
195,이영빈,LG,71,168,148,36,2,21,16,14,51,6,0.351,0.243,0.317,0.345,0.662,0.308,-0.09
196,문찬종,Hero,13,17,14,2,0,0,1,3,4,0,0.2,0.143,0.294,0.143,0.437,0.245,-0.09
197,김민혁,두산,6,8,6,0,0,0,0,2,2,0,0,0,0.25,0,0.25,0.194,-0.09
198,백동훈,두산,5,3,3,0,0,1,0,0,2,0,0,0,0,0,0,0,-0.09
199,장준원,LG,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09
200,백승민,삼성,4,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.09
201,오명진,두산,2,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.09
202,김주현,롯데,8,17,16,4,0,1,0,1,6,0,0.4,0.25,0.294,0.25,0.544,0.262,-0.1
203,오준혁,SSG,26,50,46,10,2,7,5,4,15,0,0.276,0.217,0.28,0.391,0.671,0.301,-0.1
204,박승규,삼성,59,78,66,12,3,13,5,9,9,1,0.167,0.182,0.299,0.333,0.632,0.299,-0.1
205,손호영,LG,8,12,10,1,0,2,0,1,2,0,0.125,0.1,0.25,0.1,0.35,0.207,-0.1
206,김건형,KT,11,39,33,7,0,4,0,6,6,1,0.259,0.212,0.333,0.242,0.575,0.28,-0.11
207,박정우,KIA,32,61,48,9,0,3,4,10,8,0,0.225,0.188,0.35,0.208,0.558,0.299,-0.11
208,강민국,KT,18,50,45,11,0,2,4,3,6,0,0.282,0.244,0.292,0.289,0.581,0.273,-0.12
209,김수환,Hero,13,44,41,9,2,5,5,2,17,0,0.304,0.22,0.25,0.415,0.665,0.286,-0.12
210,안익훈,LG,47,16,14,2,0,4,1,0,2,0,0.167,0.143,0.25,0.214,0.464,0.235,-0.12
211,권혁경,KIA,5,18,18,4,0,1,0,0,6,0,0.333,0.222,0.222,0.222,0.444,0.204,-0.13
212,황윤호,KIA,6,19,17,3,0,2,0,1,3,0,0.214,0.176,0.263,0.176,0.439,0.227,-0.13
213,안권수,두산,87,47,42,10,0,17,4,3,3,3,0.256,0.238,0.289,0.286,0.575,0.27,-0.15
214,지석훈,NC,28,43,34,5,0,6,2,7,12,0,0.217,0.147,0.302,0.176,0.478,0.259,-0.15
215,강경학,한화,12,26,22,3,0,1,0,4,10,1,0.25,0.136,0.269,0.136,0.405,0.225,-0.15
216,국해성,두산,4,8,8,1,0,0,0,0,2,0,0.167,0.125,0.125,0.125,0.25,0.115,-0.16
217,고명준,SSG,3,5,5,0,0,0,0,0,3,0,0,0,0,0,0,0,-0.16
218,이학주,삼성,66,174,155,32,4,17,20,14,61,1,0.311,0.206,0.276,0.335,0.611,0.282,-0.17
219,최정용,KIA,53,65,52,10,0,7,2,9,16,2,0.27,0.192,0.306,0.212,0.518,0.266,-0.17
220,모창민,NC,3,6,5,0,0,0,0,1,1,0,0,0,0.167,0,0.167,0.129,-0.17
221,오선진,삼성,23,46,42,9,0,5,2,3,8,0,0.265,0.214,0.283,0.214,0.497,0.247,-0.18
222,민병헌,롯데,14,49,42,8,0,5,2,6,11,0,0.258,0.19,0.292,0.262,0.554,0.271,-0.18
223,박세혁,두산,96,270,237,52,0,25,30,22,43,4,0.264,0.219,0.296,0.27,0.566,0.273,-0.19
224,조한민,한화,52,145,127,25,5,15,18,13,57,3,0.299,0.197,0.278,0.394,0.672,0.3,-0.19
225,허관회,한화,28,79,63,12,0,4,2,13,22,0,0.279,0.19,0.329,0.19,0.519,0.277,-0.19
226,신준우,Hero,56,51,42,7,0,7,4,4,21,0,0.318,0.167,0.28,0.238,0.518,0.258,-0.19
227,김호재,삼성,87,90,75,17,0,9,7,9,14,0,0.274,0.227,0.322,0.253,0.575,0.286,-0.21
228,김민수,NC,7,7,7,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.21
229,힐리,한화,67,268,249,64,7,27,37,16,58,2,0.308,0.257,0.306,0.394,0.7,0.315,-0.22
230,김규남,SSG,4,7,7,0,0,0,0,0,3,0,0,0,0,0,0,0,-0.22
231,신민재,LG,32,27,23,3,0,8,2,4,6,2,0.176,0.13,0.259,0.13,0.389,0.217,-0.23
232,정민규,한화,6,17,16,2,0,1,0,1,6,0,0.2,0.125,0.176,0.188,0.364,0.174,-0.23
233,이주찬,롯데,3,8,7,0,0,0,0,0,5,0,0,0,0,0,0,0,-0.23
234,이성우,LG,36,39,33,7,0,0,2,1,8,0,0.28,0.212,0.235,0.212,0.447,0.212,-0.24
235,도태훈,NC,77,76,66,12,1,10,9,6,14,1,0.216,0.182,0.289,0.242,0.531,0.266,-0.24
236,백용환,한화,36,95,81,12,4,10,4,9,24,0,0.151,0.148,0.258,0.309,0.567,0.268,-0.24
237,송호정,한화,10,11,10,0,0,1,0,1,8,0,0,0,0.091,0,0.091,0.07,-0.24
238,홍현빈,KT,43,12,11,2,0,8,0,0,8,0,0.667,0.182,0.182,0.182,0.364,0.167,-0.25
239,이주형,LG,14,19,16,2,0,3,0,1,7,2,0.222,0.125,0.222,0.125,0.347,0.189,-0.25
240,강상원,한화,35,49,37,4,0,7,2,9,11,3,0.154,0.108,0.298,0.108,0.406,0.243,-0.25
241,문상철,KT,53,106,96,21,2,14,16,8,33,2,0.311,0.219,0.292,0.344,0.636,0.294,-0.26
242,이창진,KIA,105,293,249,52,3,35,33,36,54,5,0.251,0.209,0.308,0.285,0.593,0.287,-0.26
243,강진성,NC,124,462,406,101,7,49,38,36,68,9,0.282,0.249,0.33,0.35,0.68,0.316,-0.27
244,김재호,두산,89,251,211,44,1,23,24,29,34,1,0.24,0.209,0.306,0.261,0.567,0.278,-0.27
